TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_DEFAULT,COMMENT
SERVICENOW,SN_FLIGHT_REPORT,UNRESOLVED_INVOLVED_POSITIONS,VARCHAR,,"Positions named as involved that the extract carries no crew column for (L2/R2 have none), so they cannot be attributed to a person."
SERVICENOW,SN_FLIGHT_REPORT,P_IS_CURRENT,BOOLEAN,,SCD-2 currency flag. Always TRUE for a file extract; present so this source obeys the same currency rule as the warehouse sources.
SERVICENOW,SN_FLIGHT_REPORT,LOAD_DATE,TIMESTAMP_NTZ,,When this extract was ingested.
SERVICENOW,SN_REPORT_CREW,SN_REPORT_ID,VARCHAR,,The report this crew member operated. Joins SN_FLIGHT_REPORT.
SERVICENOW,SN_REPORT_CREW,IGA,VARCHAR,,Crew identifier as spelled in every other source.
SERVICENOW,SN_REPORT_CREW,POSITION,VARCHAR,,"Seat position: L1-L4, R1-R4, FO or CAPTAIN."
SERVICENOW,SN_REPORT_CREW,IS_INVOLVED,BOOLEAN,,TRUE when the report names this seat position under 'Crew Involved'. Everyone else was on the flight but not named — being rostered is not being implicated.
SERVICENOW,SN_REPORT_CREW,IS_CX_CHAMPION,BOOLEAN,,TRUE when this seat was nominated customer-experience champion.
SERVICENOW,SN_REPORT_CREW,IS_CABIN_CREW,BOOLEAN,,"FALSE for flight-deck positions (FO, CAPTAIN), which are not assessed by the cabin-crew process."
SERVICENOW,SN_REPORT_CREW,P_IS_CURRENT,BOOLEAN,,SCD-2 currency flag. Always TRUE for a file extract; present so this source obeys the same currency rule as the warehouse sources.
SERVICENOW,SN_REPORT_CREW,LOAD_DATE,TIMESTAMP_NTZ,,When this extract was ingested.
SERVICENOW,SN_SERVICE_CHECK,SN_REPORT_ID,VARCHAR,,The report this answer belongs to. Joins SN_FLIGHT_REPORT.
SERVICENOW,SN_SERVICE_CHECK,CHECK_CODE,VARCHAR,,"Which check: THANK_YOU_SERVICE, SECOND_ROUND_FB_SERVICE, CABIN_SERVICE, SERVICE_COMPLETED, DEVIATION, COCKPIT_MEAL_REQUESTED, COCKPIT_MEAL_ON_GROUND."
SERVICENOW,SN_SERVICE_CHECK,CHECK_VALUE,VARCHAR,,"The lead's answer, verbatim."
SERVICENOW,SN_SERVICE_CHECK,IS_PASS,BOOLEAN,,TRUE when the answer meets the standard. DEVIATION is inverted: 'No' passes. Null when the answer is neither yes nor no.
SERVICENOW,SN_SERVICE_CHECK,CHECK_COMMENT,VARCHAR,,"Free-text explanation, usually present only when the answer was not the expected one."
SERVICENOW,SN_SERVICE_CHECK,P_IS_CURRENT,BOOLEAN,,SCD-2 currency flag. Always TRUE for a file extract; present so this source obeys the same currency rule as the warehouse sources.
SERVICENOW,SN_SERVICE_CHECK,LOAD_DATE,TIMESTAMP_NTZ,,When this extract was ingested.
SERVICENOW,M_SN_CREW,IGA,VARCHAR,,"Crew identifier. Primary key, and the join to every other source."
SERVICENOW,M_SN_CREW,REPORT_COUNT,NUMBER,,Reported flights this crew member operated.
SERVICENOW,M_SN_CREW,INVOLVED_COUNT,NUMBER,,Reports naming this crew member's position as involved.
SERVICENOW,M_SN_CREW,FIRST_SEEN,TIMESTAMP_NTZ,,Earliest reported flight.
SERVICENOW,M_SN_CREW,LAST_SEEN,TIMESTAMP_NTZ,,Latest reported flight.
SERVICENOW,M_SN_CREW,IS_CABIN_CREW,BOOLEAN,,FALSE when only ever seen in a flight-deck seat.
SERVICENOW,M_SN_CREW,P_IS_CURRENT,BOOLEAN,,SCD-2 currency flag. Always TRUE for a file extract; present so this source obeys the same currency rule as the warehouse sources.
SERVICENOW,M_SN_CREW,LOAD_DATE,TIMESTAMP_NTZ,,When this extract was ingested.
SERVICENOW,M_SN_CATEGORY,SUB_CATEGORY_CODE,VARCHAR,,Primary key: slug of category + sub-category.
SERVICENOW,M_SN_CATEGORY,CATEGORY_CODE,VARCHAR,,Slug of the parent category.
SERVICENOW,M_SN_CATEGORY,CATEGORY,VARCHAR,,"Category label, spelling normalised."
SERVICENOW,M_SN_CATEGORY,SUB_CATEGORY,VARCHAR,,Sub-category label.
SERVICENOW,M_SN_CATEGORY,POLARITY,VARCHAR,,"APPRECIATION, SERVICE, OPERATIONAL, REPORTING or UNCLASSIFIED."
SERVICENOW,M_SN_CATEGORY,REPORT_COUNT,NUMBER,,Reports in this extract carrying this pair.
SERVICENOW,M_SN_CATEGORY,P_IS_CURRENT,BOOLEAN,,SCD-2 currency flag. Always TRUE for a file extract; present so this source obeys the same currency rule as the warehouse sources.
SERVICENOW,M_SN_CATEGORY,LOAD_DATE,TIMESTAMP_NTZ,,When this extract was ingested.
