DB Name,Report Name,Table Name,Key Columns Used,Relationship / Join,Why Selected
CLMS,Leave Balance,M_CLMS_LeaveBalance,"CrewID, LeaveTypeID, Balance, LeaveYearId, StartDate, EndDate",CrewID + LeaveTypeID,"Primary source of current leave balance. Referenced by multiple balance procedures including STP_CLMS_LeaveBalance, FetchCrewLeaveBalanceDetailsUpdated_CLMS, SP_CLMS_LEAVEBALANCEASONREPORT and leave-year processing procedures. "
CLMS,Leave Balance,M_LMS_LeaveType,"LeaveTypeID, LeaveType, Description, OrderRecords",M_CLMS_LeaveBalance.LeaveTypeID = M_LMS_LeaveType.LeaveTypeID,"Provides Leave Type descriptions such as PL, SL, URTI, TMU, SLA. Used throughout leave balance reports. "
CLMS,Leave Balance,M_CLMS_Crew,"CrewID, DOJ, CrewName, Designation, Base",M_CLMS_Crew.CrewID = M_CLMS_LeaveBalance.CrewID,"Used for DOJ-based accrual calculations, balance eligibility, reporting output and leave-year calculations. "
CLMS,Leave Balance,M_LeaveYear,"LeaveYearId, LeaveYearStartDate, LeaveYearEndDate",M_CLMS_LeaveBalance.LeaveYearId = M_LeaveYear.LeaveYearId,Leave balance bucket is tied to a leave year. Used in leave-year assignment and balance management. 
CLMS,Leave Balance,T_Crew_LeaveYear,"CrewID, LeaveYearId",CrewID + LeaveYearId,Maps crew to leave-year buckets used by balance calculations. 
CLMS,Leave Balance,M_CLMS_LeaveBalance_Hist,"CrewID, LeaveTypeID, Balance, LeaveYearId",Historical copy of M_CLMS_LeaveBalance,Maintains leave balance history and audit trail during leave year resets and balance recalculations. 
CLMS,Leave Taken,T_CLMS_LeaveReqMaster,"LeaveDetailID, CrewID, StatusTypeID, RequestedDate, FromDt, ToDt",Parent Transaction Table,Main leave request header containing approval status and crew ownership. Source of leave utilization. 
CLMS,Leave Taken,T_CLMS_LeaveReqDetail,"LeaveDetailID, LeaveTypeID, NoOfLeaves, FromDt, ToDt",LeaveDetailID = T_CLMS_LeaveReqMaster.LeaveDetailID,Stores actual leave days consumed and leave type. Primary source of leave taken calculations. 
CLMS,Leave Taken,T_CLMS_LeaveDetail,"CrewID, LeaveTypeID, NoOfLeaves, FromDate, ToDate, StatusTypeID",CrewID + LeaveTypeID,Used by STP_CLMS_LeaveBalance and leave balance calculations for approved leave consumption. 
CLMS,Leave Taken,M_LMS_LeaveType,"LeaveTypeID, LeaveType",LeaveTypeID joins leave transaction tables,Converts leave transactions into business leave types. 
CLMS,Leave Taken,M_LMS_StatusType,"StatusTypeID, StatusType",StatusTypeID join,"Used to identify Approved, Applied, Not Approved, Not Accepted, Pullback, Cancellation Request statuses. "
PEP,Assessment,MentorFeedBack,"ID, PEPID, IGA, PEPNO, Mark, Grade, PEPDate, CreatedBy, Category, Allocation, FlightNo, Strenghth, ImprovementAreas, ImprovementLastflight",Parent Assessment Table,"Main assessment transaction table. Stores assessment result, score, grade, strengths, improvement areas, assessor and assessment metadata. "
PEP,Assessment,PEP_FlightDetails,"PEPID, FlightNo, FlightType, STD, STA, Sector",PEP_FlightDetails.PEPID = MentorFeedBack.PEPID,Provides flight details against which assessment was conducted. 
PEP,Assessment,Employee_Info,"IGA, EmployeeName, Designation, Base, Email",Employee_Info.IGA = MentorFeedBack.IGA,Provides crew information used in assessment reporting. 
PEP,Feedback,PEPQuestionFeedback,"ID, FeedbackID, QuestionID, Feedback, Remarks",PEPQuestionFeedback.FeedbackID = MentorFeedBack.ID,"Stores question-wise feedback, YES/NO/N/A responses and remarks given during assessment. "
PEP,Feedback,PEPQuestions,"QuestionID, Question, Marks, Critical, Crucial",PEPQuestions.QuestionID = PEPQuestionFeedback.QuestionID,Defines assessment parameters/questions and associated weights. 
PEP,Grading,PEPGrade,"GradeID, GradeCode, Grade, Active",MentorFeedBack.Grade ↔ PEPGrade.Grade/GradeCode,Grade master defining grading values and active grade configuration. 
PEP,Grading,PEPDeviationMatrix,"Grade, Marks Range, Template Mapping",Marks Range → Grade Mapping,Defines grading logic and mapping of assessment marks to grades. 
PEP,Score,MentorFeedBack,"Mark, Grade",Assessment Level Score,Source of raw assessment score and assigned grade. Used by assessment and performance reports.
